Experiment,Regime,MVAR R²,MVAR R²_std,MVAR RMSE,MVAR Mass Viol.,LSTM R²,LSTM R²_std,LSTM RMSE,LSTM Mass Viol.,WSINDY R²,WSINDY R²_std,WSINDY RMSE,WSINDY Mass Viol.
DO_DR02_dring_C09_l09,DR02,0.9860,0.0090,0.1803,0.0000,-98.7575,70.3559,15.4001,0.0000,,,,
DO_DM01_dmill_C09_l05,DM01,0.9431,0.0055,0.3863,0.0000,-904.6664,1811.2926,24.7249,0.0000,,,,
DO_DR01_dring_C01_l01,DR01,0.9026,0.0095,0.4867,0.0000,-604.8946,383.8989,35.6666,0.0000,,,,
DO_CS01_swarm_C01_l05,CS01,0.8351,0.0256,0.6496,0.0000,-1210.7248,645.4012,54.0002,0.0000,,,,
DO_DM01_dmill_C09_l05_VS,DM01,0.8278,0.0930,0.3478,0.0000,-806.7046,792.4150,23.3766,0.0000,,,,
DO_CS01_swarm_C01_l05_VS,CS01,0.7419,0.1432,0.4161,0.0000,-167.4450,143.7579,9.7992,0.0000,,,,
DO_ES01_escsym_C3_l09,ES01,0.6494,0.2286,0.0306,0.0000,-3.4688,5.9323,0.0842,0.0000,,,,
DO_DR01_dring_C01_l01_VS,DR01,0.5230,0.3840,0.5868,0.0000,-570.3670,676.1676,17.5797,0.0000,,,,
DO_EC02_esccol_C3_l05,EC02,0.4361,0.5934,0.5720,0.0000,-381.8520,405.8367,14.8876,0.0000,,,,
DO_DR02_dring_C09_l09_VS,DR02,0.3450,0.4347,0.5274,0.0000,-129.8452,119.5102,7.9271,0.0000,,,,
DO_EC02_esccol_C3_l05_VS,EC02,0.3285,0.3766,0.1999,0.0000,-1399.7569,1370.1125,7.9031,0.0000,,,,
DO_CS03_swarm_C09_l3,CS03,0.2276,0.0100,0.3629,0.0000,0.1302,0.0733,0.3857,0.0000,,,,
DO_CS02_swarm_C05_l3,CS02,0.0944,0.2599,0.6785,0.0000,0.1092,0.0114,0.7092,0.0000,,,,
DO_ES01_escsym_C3_l09_VS,ES01,0.0735,0.2848,0.1075,0.0000,-10549.7433,8475.4129,10.7873,0.0000,,,,
DO_CS03_swarm_C09_l3_VS,CS03,-0.3051,0.7228,0.2615,0.0000,-0.1072,0.2085,0.2598,0.0000,,,,
DO_CS02_swarm_C05_l3_VS,CS02,-0.3755,0.8875,0.3613,0.0000,-5435.3886,7675.1705,22.3794,0.0000,,,,
