name,family,known_issues,exclude_from_rankings,mvar_enabled,mvar_mean_r2,mvar_mean_r2_1step,mvar_r2_source,mvar_lag,mvar_ridge_alpha,density_transform,mass_postprocess,shift_align,fixed_modes,subsample
ABL3_N200_raw_simplex_noAlign_H300_v2,ABL,,False,True,0.0032000061196639285,0.9986504966121773,summary,5,0.0001,raw,simplex,False,19,3
ABL4_N200_raw_simplex_align_H300_v2,ABL,,False,True,0.9706353425938496,0.945713217634005,summary,5,0.0001,raw,simplex,True,19,3
ABL7_N200_sqrt_simplex_noAlign_H300_v2,ABL,,False,True,0.00599261261176412,0.999041796244082,summary,5,0.0001,sqrt,simplex,False,19,3
ABL8_N200_sqrt_simplex_align_H300_v2,ABL,,False,True,0.9703583856825695,0.95869415045348,summary,5,0.0001,sqrt,simplex,True,19,3
DO_CS01_swarm_C01_l05,DO,,False,True,0.9560202233526213,,summary,5,0.0001,sqrt,simplex,True,19,3
DO_CS01_swarm_C01_l05_VS,DO,,False,True,0.6650022596490819,,summary,5,0.0001,sqrt,simplex,True,19,3
DO_CS02_swarm_C05_l3,DO,,False,True,0.17952213431321204,,summary,5,0.0001,sqrt,simplex,True,19,3
DO_DM01_dmill_C09_l05,DO,,False,True,0.992133857221128,,summary,5,0.0001,sqrt,simplex,True,19,3
DO_DM01_dmill_C09_l05_VS,DO,,False,True,0.8233558876945654,,summary,5,0.0001,sqrt,simplex,True,19,3
DO_DR01_dring_C01_l01,DO,,False,True,0.958380567958288,,summary,5,0.0001,sqrt,simplex,True,19,3
DO_DR01_dring_C01_l01_VS,DO,,False,True,0.6329424732910485,,summary,5,0.0001,sqrt,simplex,True,19,3
DO_DR02_dring_C09_l09,DO,,False,True,0.9887129214011192,,summary,5,0.0001,sqrt,simplex,True,19,3
DO_DR02_dring_C09_l09_VS,DO,,False,True,0.6344768123432399,,summary,5,0.0001,sqrt,simplex,True,19,3
DO_EC02_esccol_C3_l05,DO,,False,True,0.4293285087640937,,summary,5,0.0001,sqrt,simplex,True,19,3
DO_EC02_esccol_C3_l05_VS,DO,,False,True,0.15892593091859303,,summary,5,0.0001,sqrt,simplex,True,19,3
