mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-7.406733,0.000000,-3.432322,-2.862411,0,3319,True
1,-7.642929,0.000000,-3.432335,-2.862417,22,3297,True
2,-6.835760,0.000000,-3.432335,-2.862417,22,3297,True
3,-8.253364,0.000000,-3.432335,-2.862417,22,3297,True
4,-6.826540,0.000000,-3.432335,-2.862417,22,3297,True
5,-7.375468,0.000000,-3.432338,-2.862418,27,3292,True
6,-7.585096,0.000000,-3.432338,-2.862418,27,3292,True
7,-6.108405,0.000000,-3.432338,-2.862418,27,3292,True
8,-7.585052,0.000000,-3.432331,-2.862415,15,3304,True
9,-7.642831,0.000000,-3.432333,-2.862416,19,3300,True
10,-7.001519,0.000000,-3.432331,-2.862415,15,3304,True
11,-6.521081,0.000000,-3.432338,-2.862418,27,3292,True
12,-7.719207,0.000000,-3.432334,-2.862417,21,3298,True
13,-7.790608,0.000000,-3.432335,-2.862417,22,3297,True
14,-6.110905,0.000000,-3.432338,-2.862418,27,3292,True
15,-7.614295,0.000000,-3.432334,-2.862417,21,3298,True
16,-6.206927,0.000000,-3.432338,-2.862418,27,3292,True
17,-8.119430,0.000000,-3.432331,-2.862415,15,3304,True
18,-8.211311,0.000000,-3.432335,-2.862417,22,3297,True
