mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-4.620026,0.000119,-3.432313,-2.862407,5,3334,True
1,-7.188847,0.000000,-3.432327,-2.862414,29,3310,True
2,-13.472468,0.000000,-3.432314,-2.862408,7,3332,True
3,-8.822305,0.000000,-3.432324,-2.862412,24,3315,True
4,-10.423147,0.000000,-3.432311,-2.862407,2,3337,True
5,-10.764213,0.000000,-3.432325,-2.862413,26,3313,True
6,-9.058528,0.000000,-3.432326,-2.862413,27,3312,True
7,-8.466005,0.000000,-3.432323,-2.862412,22,3317,True
8,-8.523668,0.000000,-3.432325,-2.862413,26,3313,True
9,-5.839441,0.000000,-3.432327,-2.862413,28,3311,True
10,-11.845199,0.000000,-3.432313,-2.862407,5,3334,True
11,-8.499809,0.000000,-3.432320,-2.862410,17,3322,True
12,-7.802058,0.000000,-3.432327,-2.862414,29,3310,True
13,-8.848020,0.000000,-3.432322,-2.862411,21,3318,True
14,-10.177915,0.000000,-3.432318,-2.862410,14,3325,True
15,-8.379040,0.000000,-3.432322,-2.862411,21,3318,True
16,-13.307772,0.000000,-3.432312,-2.862407,3,3336,True
17,-13.411825,0.000000,-3.432311,-2.862407,2,3337,True
18,-12.097539,0.000000,-3.432312,-2.862407,4,3335,True
