mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-9.341633,0.000000,-3.432310,-2.862406,0,3339,True
1,-9.831256,0.000000,-3.432319,-2.862410,15,3324,True
2,-9.663812,0.000000,-3.432318,-2.862409,13,3326,True
3,-9.262940,0.000000,-3.432318,-2.862409,13,3326,True
4,-9.771310,0.000000,-3.432318,-2.862409,13,3326,True
5,-10.299297,0.000000,-3.432321,-2.862411,19,3320,True
6,-9.594611,0.000000,-3.432318,-2.862409,13,3326,True
7,-10.357120,0.000000,-3.432318,-2.862409,13,3326,True
8,-8.559845,0.000000,-3.432319,-2.862410,16,3323,True
9,-9.587494,0.000000,-3.432318,-2.862409,13,3326,True
10,-8.967996,0.000000,-3.432318,-2.862409,13,3326,True
11,-9.303589,0.000000,-3.432321,-2.862411,19,3320,True
12,-10.638657,0.000000,-3.432316,-2.862409,10,3329,True
13,-10.220641,0.000000,-3.432318,-2.862409,13,3326,True
14,-8.718927,0.000000,-3.432318,-2.862410,14,3325,True
15,-9.660684,0.000000,-3.432318,-2.862409,13,3326,True
16,-9.400465,0.000000,-3.432318,-2.862409,13,3326,True
17,-9.062543,0.000000,-3.432316,-2.862409,10,3329,True
18,-9.355478,0.000000,-3.432316,-2.862409,10,3329,True
