mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-9.077046,0.000000,-3.432310,-2.862406,0,3339,True
1,-9.033419,0.000000,-3.432311,-2.862406,1,3338,True
2,-7.963667,0.000000,-3.432318,-2.862410,14,3325,True
3,-8.609223,0.000000,-3.432319,-2.862410,15,3324,True
4,-9.672096,0.000000,-3.432319,-2.862410,16,3323,True
5,-8.989223,0.000000,-3.432320,-2.862410,17,3322,True
6,-8.035671,0.000000,-3.432324,-2.862412,23,3316,True
7,-6.925526,0.000000,-3.432327,-2.862413,28,3311,True
8,-7.782462,0.000000,-3.432327,-2.862413,28,3311,True
9,-8.872206,0.000000,-3.432327,-2.862413,28,3311,True
10,-5.573373,0.000001,-3.432325,-2.862413,26,3313,True
11,-7.575003,0.000000,-3.432316,-2.862409,11,3328,True
12,-8.302032,0.000000,-3.432324,-2.862412,23,3316,True
13,-8.694157,0.000000,-3.432324,-2.862412,23,3316,True
14,-8.264329,0.000000,-3.432324,-2.862412,24,3315,True
15,-9.447945,0.000000,-3.432320,-2.862410,17,3322,True
16,-8.579267,0.000000,-3.432318,-2.862409,13,3326,True
17,-7.637346,0.000000,-3.432327,-2.862414,29,3310,True
18,-7.467323,0.000000,-3.432327,-2.862413,28,3311,True
