mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-8.156005,0.000000,-3.432320,-2.862410,17,3322,True
1,-4.746414,0.000069,-3.432323,-2.862412,22,3317,True
2,-5.129202,0.000012,-3.432321,-2.862411,19,3320,True
3,-10.492910,0.000000,-3.432313,-2.862408,6,3333,True
4,-5.522294,0.000002,-3.432321,-2.862411,19,3320,True
5,-4.004978,0.001385,-3.432318,-2.862409,13,3326,True
6,-9.098047,0.000000,-3.432318,-2.862409,13,3326,True
7,-4.225299,0.000597,-3.432323,-2.862412,22,3317,True
8,-11.049217,0.000000,-3.432314,-2.862408,7,3332,True
9,-8.072802,0.000000,-3.432313,-2.862408,6,3333,True
10,-4.761647,0.000064,-3.432321,-2.862411,19,3320,True
11,-6.836753,0.000000,-3.432323,-2.862412,22,3317,True
12,-8.415940,0.000000,-3.432318,-2.862409,13,3326,True
13,-4.334710,0.000387,-3.432320,-2.862410,17,3322,True
14,-5.480304,0.000002,-3.432327,-2.862414,29,3310,True
15,-6.737580,0.000000,-3.432324,-2.862412,24,3315,True
16,-4.965089,0.000026,-3.432327,-2.862414,29,3310,True
17,-5.434402,0.000003,-3.432315,-2.862408,9,3330,True
18,-4.587842,0.000136,-3.432322,-2.862411,21,3318,True
