mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-9.403202,0.000000,-3.432314,-2.862408,7,3332,True
1,-12.737079,0.000000,-3.432315,-2.862408,9,3330,True
2,-11.361923,0.000000,-3.432313,-2.862407,5,3334,True
3,-8.777851,0.000000,-3.432319,-2.862410,16,3323,True
4,-9.725101,0.000000,-3.432325,-2.862413,26,3313,True
5,-14.239535,0.000000,-3.432314,-2.862408,7,3332,True
6,-12.908917,0.000000,-3.432313,-2.862408,6,3333,True
7,-11.651639,0.000000,-3.432316,-2.862409,10,3329,True
8,-9.129973,0.000000,-3.432321,-2.862411,19,3320,True
9,-11.092238,0.000000,-3.432316,-2.862409,11,3328,True
10,-9.229696,0.000000,-3.432326,-2.862413,27,3312,True
11,-13.893598,0.000000,-3.432316,-2.862409,11,3328,True
12,-10.060461,0.000000,-3.432322,-2.862411,20,3319,True
13,-9.580731,0.000000,-3.432323,-2.862412,22,3317,True
14,-14.867206,0.000000,-3.432314,-2.862408,7,3332,True
15,-16.592700,0.000000,-3.432312,-2.862407,4,3335,True
16,-12.025271,0.000000,-3.432319,-2.862410,16,3323,True
17,-12.606798,0.000000,-3.432319,-2.862410,15,3324,True
18,-16.366631,0.000000,-3.432312,-2.862407,3,3336,True
