mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-12.017543,0.000000,-3.432318,-2.862409,13,3326,True
1,-9.141886,0.000000,-3.432321,-2.862411,18,3321,True
2,-13.512929,0.000000,-3.432316,-2.862409,10,3329,True
3,-14.747843,0.000000,-3.432315,-2.862408,8,3331,True
4,-17.333351,0.000000,-3.432312,-2.862407,4,3335,True
5,-14.983363,0.000000,-3.432318,-2.862410,14,3325,True
6,-13.990971,0.000000,-3.432321,-2.862411,18,3321,True
7,-14.882533,0.000000,-3.432319,-2.862410,15,3324,True
8,-15.904230,0.000000,-3.432317,-2.862409,12,3327,True
9,-12.688493,0.000000,-3.432316,-2.862409,10,3329,True
10,-22.109430,0.000000,-3.432311,-2.862407,2,3337,True
11,-16.490938,0.000000,-3.432313,-2.862408,6,3333,True
12,-18.704015,0.000000,-3.432312,-2.862407,4,3335,True
13,-16.688902,0.000000,-3.432312,-2.862407,4,3335,True
14,-11.294951,0.000000,-3.432321,-2.862411,18,3321,True
15,-13.379221,0.000000,-3.432318,-2.862410,14,3325,True
16,-13.385231,0.000000,-3.432320,-2.862410,17,3322,True
17,-19.085501,0.000000,-3.432313,-2.862407,5,3334,True
18,-10.463609,0.000000,-3.432326,-2.862413,27,3312,True
