mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-8.342307,0.000000,-3.432316,-2.862409,11,3328,True
1,-9.711200,0.000000,-3.432311,-2.862407,2,3337,True
2,-9.018529,0.000000,-3.432326,-2.862413,27,3312,True
3,-8.578572,0.000000,-3.432325,-2.862413,26,3313,True
4,-11.817792,0.000000,-3.432316,-2.862409,11,3328,True
5,-7.846188,0.000000,-3.432316,-2.862409,11,3328,True
6,-8.842278,0.000000,-3.432327,-2.862413,28,3311,True
7,-11.952664,0.000000,-3.432318,-2.862410,14,3325,True
8,-9.509069,0.000000,-3.432319,-2.862410,16,3323,True
9,-10.752661,0.000000,-3.432316,-2.862409,11,3328,True
10,-9.203949,0.000000,-3.432317,-2.862409,12,3327,True
11,-10.323398,0.000000,-3.432316,-2.862409,11,3328,True
12,-9.792751,0.000000,-3.432326,-2.862413,27,3312,True
13,-10.883486,0.000000,-3.432316,-2.862409,11,3328,True
14,-8.428852,0.000000,-3.432327,-2.862413,28,3311,True
15,-7.864085,0.000000,-3.432326,-2.862413,27,3312,True
16,-10.270654,0.000000,-3.432316,-2.862409,11,3328,True
17,-7.956038,0.000000,-3.432322,-2.862411,21,3318,True
18,-10.228339,0.000000,-3.432327,-2.862413,28,3311,True
