mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-7.345315,0.000000,-3.432310,-2.862406,0,3339,True
1,-7.478938,0.000000,-3.432323,-2.862412,22,3317,True
2,-6.715908,0.000000,-3.432322,-2.862411,20,3319,True
3,-7.671052,0.000000,-3.432327,-2.862413,28,3311,True
4,-6.835575,0.000000,-3.432323,-2.862412,22,3317,True
5,-7.857849,0.000000,-3.432327,-2.862413,28,3311,True
6,-7.497767,0.000000,-3.432327,-2.862413,28,3311,True
7,-5.860690,0.000000,-3.432326,-2.862413,27,3312,True
8,-6.895989,0.000000,-3.432326,-2.862413,27,3312,True
9,-6.590859,0.000000,-3.432325,-2.862413,25,3314,True
10,-7.365667,0.000000,-3.432327,-2.862414,29,3310,True
11,-6.897955,0.000000,-3.432326,-2.862413,27,3312,True
12,-9.250447,0.000000,-3.432316,-2.862409,11,3328,True
13,-7.457605,0.000000,-3.432322,-2.862411,20,3319,True
14,-6.056866,0.000000,-3.432326,-2.862413,27,3312,True
15,-7.506176,0.000000,-3.432322,-2.862411,21,3318,True
16,-6.317089,0.000000,-3.432326,-2.862413,27,3312,True
17,-7.584076,0.000000,-3.432326,-2.862413,27,3312,True
18,-8.410208,0.000000,-3.432321,-2.862411,19,3320,True
