mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-4.400363,0.000296,-3.432313,-2.862407,5,3334,True
1,-4.229268,0.000588,-3.432322,-2.862411,20,3319,True
2,-6.458747,0.000000,-3.432312,-2.862407,3,3336,True
3,-4.880331,0.000038,-3.432324,-2.862412,24,3315,True
4,-5.302372,0.000005,-3.432313,-2.862407,5,3334,True
5,-6.024256,0.000000,-3.432316,-2.862409,10,3329,True
6,-3.981500,0.001511,-3.432321,-2.862411,18,3321,True
7,-5.635773,0.000001,-3.432316,-2.862409,10,3329,True
8,-6.901616,0.000000,-3.432315,-2.862408,9,3330,True
9,-5.430283,0.000003,-3.432321,-2.862411,19,3320,True
10,-9.535480,0.000000,-3.432314,-2.862408,7,3332,True
11,-7.462604,0.000000,-3.432315,-2.862408,9,3330,True
12,-6.527528,0.000000,-3.432316,-2.862409,10,3329,True
13,-6.653555,0.000000,-3.432319,-2.862410,16,3323,True
14,-4.578838,0.000141,-3.432323,-2.862412,22,3317,True
15,-4.853831,0.000043,-3.432324,-2.862412,23,3316,True
16,-6.139363,0.000000,-3.432322,-2.862411,20,3319,True
17,-6.022311,0.000000,-3.432316,-2.862409,10,3329,True
18,-4.869882,0.000040,-3.432323,-2.862412,22,3317,True
