mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-9.822972,0.000000,-3.432310,-2.862406,0,3339,True
1,-10.477447,0.000000,-3.432321,-2.862411,18,3321,True
2,-9.842955,0.000000,-3.432312,-2.862407,4,3335,True
3,-10.156544,0.000000,-3.432319,-2.862410,16,3323,True
4,-9.441476,0.000000,-3.432325,-2.862413,26,3313,True
5,-11.073273,0.000000,-3.432316,-2.862409,10,3329,True
6,-10.465975,0.000000,-3.432319,-2.862410,16,3323,True
7,-12.702508,0.000000,-3.432316,-2.862409,11,3328,True
8,-10.704306,0.000000,-3.432320,-2.862410,17,3322,True
9,-8.788197,0.000000,-3.432312,-2.862407,3,3336,True
10,-9.977892,0.000000,-3.432319,-2.862410,16,3323,True
11,-10.907539,0.000000,-3.432318,-2.862410,14,3325,True
12,-10.946801,0.000000,-3.432315,-2.862408,9,3330,True
13,-11.921689,0.000000,-3.432319,-2.862410,16,3323,True
14,-12.868184,0.000000,-3.432312,-2.862407,3,3336,True
15,-10.512740,0.000000,-3.432319,-2.862410,16,3323,True
16,-9.334614,0.000000,-3.432319,-2.862410,16,3323,True
17,-10.045286,0.000000,-3.432316,-2.862409,10,3329,True
18,-12.855913,0.000000,-3.432319,-2.862410,16,3323,True
