mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-9.911737,0.000000,-3.432310,-2.862406,0,3339,True
1,-9.831961,0.000000,-3.432310,-2.862406,0,3339,True
2,-10.117871,0.000000,-3.432317,-2.862409,12,3327,True
3,-7.010286,0.000000,-3.432321,-2.862411,19,3320,True
4,-9.190576,0.000000,-3.432322,-2.862411,20,3319,True
5,-9.091605,0.000000,-3.432317,-2.862409,12,3327,True
6,-9.158131,0.000000,-3.432318,-2.862410,14,3325,True
7,-10.698950,0.000000,-3.432316,-2.862409,11,3328,True
8,-8.622716,0.000000,-3.432324,-2.862412,24,3315,True
9,-12.141862,0.000000,-3.432312,-2.862407,4,3335,True
10,-9.154499,0.000000,-3.432318,-2.862410,14,3325,True
11,-9.930295,0.000000,-3.432316,-2.862409,11,3328,True
12,-9.386538,0.000000,-3.432319,-2.862410,15,3324,True
13,-9.207477,0.000000,-3.432318,-2.862410,14,3325,True
14,-8.384229,0.000000,-3.432318,-2.862410,14,3325,True
15,-10.125258,0.000000,-3.432315,-2.862408,8,3331,True
16,-9.395236,0.000000,-3.432313,-2.862407,5,3334,True
17,-8.574913,0.000000,-3.432322,-2.862411,20,3319,True
18,-8.883185,0.000000,-3.432317,-2.862409,12,3327,True
