mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-10.062339,0.000000,-3.432314,-2.862408,7,3332,True
1,-12.846163,0.000000,-3.432313,-2.862407,5,3334,True
2,-11.420850,0.000000,-3.432313,-2.862407,5,3334,True
3,-8.996701,0.000000,-3.432326,-2.862413,27,3312,True
4,-9.505070,0.000000,-3.432325,-2.862413,26,3313,True
5,-10.988775,0.000000,-3.432325,-2.862413,25,3314,True
6,-11.625826,0.000000,-3.432319,-2.862410,15,3324,True
7,-15.862888,0.000000,-3.432312,-2.862407,4,3335,True
8,-12.193584,0.000000,-3.432320,-2.862410,17,3322,True
9,-15.141267,0.000000,-3.432311,-2.862407,2,3337,True
10,-10.591987,0.000000,-3.432326,-2.862413,27,3312,True
11,-15.079666,0.000000,-3.432312,-2.862407,3,3336,True
12,-16.997085,0.000000,-3.432311,-2.862407,2,3337,True
13,-14.808673,0.000000,-3.432315,-2.862408,9,3330,True
14,-14.558326,0.000000,-3.432314,-2.862408,7,3332,True
15,-8.729951,0.000000,-3.432327,-2.862413,28,3311,True
16,-16.712978,0.000000,-3.432311,-2.862407,2,3337,True
17,-12.722486,0.000000,-3.432319,-2.862410,15,3324,True
18,-9.058350,0.000000,-3.432321,-2.862411,19,3320,True
