mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-3.900736,0.002029,-3.432310,-2.862406,0,3339,True
1,-3.869642,0.002270,-3.432311,-2.862407,2,3337,True
2,-3.780642,0.003112,-3.432324,-2.862412,23,3316,True
3,-3.769484,0.003235,-3.432317,-2.862409,12,3327,True
4,-4.718862,0.000078,-3.432325,-2.862413,26,3313,True
5,-4.216014,0.000619,-3.432323,-2.862412,22,3317,True
6,-3.929087,0.001831,-3.432322,-2.862411,21,3318,True
7,-5.636650,0.000001,-3.432325,-2.862413,26,3313,True
8,-4.107785,0.000940,-3.432327,-2.862413,28,3311,True
9,-5.071810,0.000016,-3.432325,-2.862413,26,3313,True
10,-5.476729,0.000002,-3.432325,-2.862413,26,3313,True
11,-4.261386,0.000518,-3.432322,-2.862411,21,3318,True
12,-3.399309,0.010982,-3.432327,-2.862413,28,3311,False
13,-3.671582,0.004531,-3.432327,-2.862413,28,3311,True
14,-3.449476,0.009384,-3.432318,-2.862410,14,3325,True
15,-6.540672,0.000000,-3.432324,-2.862412,23,3316,True
16,-3.843554,0.002492,-3.432320,-2.862410,17,3322,True
17,-3.702973,0.004072,-3.432324,-2.862412,23,3316,True
18,-4.365805,0.000341,-3.432323,-2.862412,22,3317,True
