mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-6.063942,0.000000,-3.432310,-2.862406,0,3339,True
1,-5.464307,0.000002,-3.432310,-2.862406,0,3339,True
2,-5.977870,0.000000,-3.432315,-2.862408,8,3331,True
3,-6.186141,0.000000,-3.432319,-2.862410,15,3324,True
4,-6.189955,0.000000,-3.432325,-2.862413,26,3313,True
5,-7.551838,0.000000,-3.432321,-2.862411,19,3320,True
6,-6.108719,0.000000,-3.432321,-2.862411,19,3320,True
7,-6.269202,0.000000,-3.432318,-2.862410,14,3325,True
8,-5.924643,0.000000,-3.432318,-2.862409,13,3326,True
9,-7.564997,0.000000,-3.432318,-2.862409,13,3326,True
10,-6.101588,0.000000,-3.432323,-2.862412,22,3317,True
11,-5.574246,0.000001,-3.432318,-2.862410,14,3325,True
12,-5.452896,0.000003,-3.432323,-2.862412,22,3317,True
13,-6.983918,0.000000,-3.432321,-2.862411,19,3320,True
14,-5.178079,0.000010,-3.432326,-2.862413,27,3312,True
15,-6.863025,0.000000,-3.432322,-2.862411,21,3318,True
16,-6.763674,0.000000,-3.432322,-2.862411,21,3318,True
17,-6.067863,0.000000,-3.432323,-2.862412,22,3317,True
18,-5.222692,0.000008,-3.432318,-2.862410,14,3325,True
