mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-8.949732,0.000000,-3.432310,-2.862406,0,3339,True
1,-8.435530,0.000000,-3.432327,-2.862413,28,3311,True
2,-8.086803,0.000000,-3.432322,-2.862411,21,3318,True
3,-7.755419,0.000000,-3.432325,-2.862413,26,3313,True
4,-8.275270,0.000000,-3.432325,-2.862413,25,3314,True
5,-7.651224,0.000000,-3.432325,-2.862413,25,3314,True
6,-9.151884,0.000000,-3.432322,-2.862411,20,3319,True
7,-7.371513,0.000000,-3.432322,-2.862411,21,3318,True
8,-6.762910,0.000000,-3.432323,-2.862412,22,3317,True
9,-7.781939,0.000000,-3.432322,-2.862411,21,3318,True
10,-6.421774,0.000000,-3.432325,-2.862413,26,3313,True
11,-8.974295,0.000000,-3.432327,-2.862413,28,3311,True
12,-7.932855,0.000000,-3.432322,-2.862411,21,3318,True
13,-6.955515,0.000000,-3.432322,-2.862411,21,3318,True
14,-8.722507,0.000000,-3.432325,-2.862413,25,3314,True
15,-8.610956,0.000000,-3.432319,-2.862410,16,3323,True
16,-7.738152,0.000000,-3.432325,-2.862413,25,3314,True
17,-9.359643,0.000000,-3.432320,-2.862410,17,3322,True
18,-7.490348,0.000000,-3.432321,-2.862411,19,3320,True
