mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-8.618740,0.000000,-3.432312,-2.862407,4,3335,True
1,-7.633912,0.000000,-3.432317,-2.862409,12,3327,True
2,-8.065409,0.000000,-3.432315,-2.862408,9,3330,True
3,-8.198702,0.000000,-3.432315,-2.862408,9,3330,True
4,-7.726281,0.000000,-3.432315,-2.862408,8,3331,True
5,-9.091911,0.000000,-3.432315,-2.862408,8,3331,True
6,-7.117474,0.000000,-3.432315,-2.862408,8,3331,True
7,-8.313041,0.000000,-3.432315,-2.862408,8,3331,True
8,-9.721212,0.000000,-3.432315,-2.862408,8,3331,True
9,-8.892841,0.000000,-3.432315,-2.862408,8,3331,True
10,-8.276628,0.000000,-3.432313,-2.862408,6,3333,True
11,-6.436929,0.000000,-3.432324,-2.862412,23,3316,True
12,-7.533625,0.000000,-3.432315,-2.862408,8,3331,True
13,-10.132935,0.000000,-3.432316,-2.862409,10,3329,True
14,-5.946029,0.000000,-3.432324,-2.862412,23,3316,True
15,-9.101844,0.000000,-3.432315,-2.862408,8,3331,True
16,-6.715150,0.000000,-3.432321,-2.862411,18,3321,True
17,-7.859916,0.000000,-3.432315,-2.862408,9,3330,True
18,-6.431497,0.000000,-3.432324,-2.862412,23,3316,True
