mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-8.731513,0.000000,-3.432310,-2.862406,0,3339,True
1,-8.454100,0.000000,-3.432311,-2.862406,1,3338,True
2,-9.294576,0.000000,-3.432326,-2.862413,27,3312,True
3,-10.003660,0.000000,-3.432317,-2.862409,12,3327,True
4,-9.095755,0.000000,-3.432324,-2.862412,24,3315,True
5,-9.799753,0.000000,-3.432316,-2.862409,11,3328,True
6,-10.301824,0.000000,-3.432318,-2.862410,14,3325,True
7,-9.014317,0.000000,-3.432319,-2.862410,16,3323,True
8,-8.552664,0.000000,-3.432327,-2.862413,28,3311,True
9,-9.184998,0.000000,-3.432321,-2.862411,19,3320,True
10,-9.202631,0.000000,-3.432327,-2.862413,28,3311,True
11,-9.716117,0.000000,-3.432322,-2.862411,20,3319,True
12,-9.104073,0.000000,-3.432324,-2.862412,24,3315,True
13,-7.972079,0.000000,-3.432323,-2.862412,22,3317,True
14,-8.463842,0.000000,-3.432326,-2.862413,27,3312,True
15,-8.287049,0.000000,-3.432324,-2.862412,24,3315,True
16,-9.671572,0.000000,-3.432319,-2.862410,16,3323,True
17,-7.788205,0.000000,-3.432324,-2.862412,24,3315,True
18,-8.726754,0.000000,-3.432319,-2.862410,16,3323,True
