mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-10.041988,0.000000,-3.432310,-2.862406,0,3339,True
1,-9.984840,0.000000,-3.432313,-2.862408,6,3333,True
2,-8.568294,0.000000,-3.432315,-2.862408,9,3330,True
3,-10.166076,0.000000,-3.432315,-2.862408,9,3330,True
4,-9.837028,0.000000,-3.432316,-2.862409,11,3328,True
5,-9.656582,0.000000,-3.432317,-2.862409,12,3327,True
6,-9.898557,0.000000,-3.432318,-2.862409,13,3326,True
7,-8.842129,0.000000,-3.432315,-2.862408,9,3330,True
8,-10.580074,0.000000,-3.432315,-2.862408,9,3330,True
9,-10.330343,0.000000,-3.432315,-2.862408,8,3331,True
10,-9.921313,0.000000,-3.432316,-2.862409,10,3329,True
11,-9.651879,0.000000,-3.432315,-2.862408,9,3330,True
12,-11.779432,0.000000,-3.432315,-2.862408,9,3330,True
13,-10.911911,0.000000,-3.432316,-2.862409,11,3328,True
14,-9.725933,0.000000,-3.432314,-2.862408,7,3332,True
15,-8.908870,0.000000,-3.432321,-2.862411,18,3321,True
16,-10.469207,0.000000,-3.432314,-2.862408,7,3332,True
17,-9.633377,0.000000,-3.432315,-2.862408,8,3331,True
18,-10.828035,0.000000,-3.432318,-2.862410,14,3325,True
