mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-8.742135,0.000000,-3.432313,-2.862407,5,3334,True
1,-12.073031,0.000000,-3.432316,-2.862409,11,3328,True
2,-11.941066,0.000000,-3.432313,-2.862408,6,3333,True
3,-12.414612,0.000000,-3.432313,-2.862407,5,3334,True
4,-15.820660,0.000000,-3.432315,-2.862408,8,3331,True
5,-10.582815,0.000000,-3.432325,-2.862413,26,3313,True
6,-12.537073,0.000000,-3.432315,-2.862408,8,3331,True
7,-9.562928,0.000000,-3.432327,-2.862413,28,3311,True
8,-10.263772,0.000000,-3.432317,-2.862409,12,3327,True
9,-10.221727,0.000000,-3.432316,-2.862409,11,3328,True
10,-12.843542,0.000000,-3.432315,-2.862408,8,3331,True
11,-7.717888,0.000000,-3.432327,-2.862414,29,3310,True
12,-10.804731,0.000000,-3.432318,-2.862409,13,3326,True
13,-12.016280,0.000000,-3.432315,-2.862408,8,3331,True
14,-10.846467,0.000000,-3.432322,-2.862411,21,3318,True
15,-12.272078,0.000000,-3.432318,-2.862409,13,3326,True
16,-11.005609,0.000000,-3.432322,-2.862411,20,3319,True
17,-10.918095,0.000000,-3.432318,-2.862410,14,3325,True
18,-12.795107,0.000000,-3.432319,-2.862410,16,3323,True
