mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-8.533461,0.000000,-3.432310,-2.862406,0,3339,True
1,-8.393082,0.000000,-3.432318,-2.862410,14,3325,True
2,-9.382647,0.000000,-3.432318,-2.862410,14,3325,True
3,-7.616611,0.000000,-3.432327,-2.862413,28,3311,True
4,-7.683970,0.000000,-3.432325,-2.862413,26,3313,True
5,-8.633218,0.000000,-3.432319,-2.862410,15,3324,True
6,-8.282570,0.000000,-3.432317,-2.862409,12,3327,True
7,-8.110214,0.000000,-3.432325,-2.862413,26,3313,True
8,-8.078157,0.000000,-3.432318,-2.862410,14,3325,True
9,-8.664666,0.000000,-3.432327,-2.862414,29,3310,True
10,-8.243371,0.000000,-3.432327,-2.862414,29,3310,True
11,-7.283109,0.000000,-3.432325,-2.862413,26,3313,True
12,-8.716436,0.000000,-3.432318,-2.862410,14,3325,True
13,-8.363528,0.000000,-3.432316,-2.862409,10,3329,True
14,-8.411868,0.000000,-3.432318,-2.862410,14,3325,True
15,-9.318872,0.000000,-3.432317,-2.862409,12,3327,True
16,-6.174167,0.000000,-3.432327,-2.862413,28,3311,True
17,-7.820138,0.000000,-3.432325,-2.862413,26,3313,True
18,-8.140461,0.000000,-3.432318,-2.862409,13,3326,True
