mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-3.919129,0.001898,-3.432310,-2.862406,0,3339,True
1,-3.859502,0.002354,-3.432311,-2.862407,2,3337,True
2,-3.548440,0.006827,-3.432325,-2.862413,25,3314,True
3,-3.393326,0.011188,-3.432327,-2.862414,29,3310,False
4,-3.912812,0.001943,-3.432327,-2.862414,29,3310,True
5,-4.527310,0.000175,-3.432325,-2.862413,25,3314,True
6,-3.662093,0.004679,-3.432325,-2.862413,25,3314,True
7,-5.144834,0.000011,-3.432327,-2.862413,28,3311,True
8,-3.364991,0.012212,-3.432327,-2.862413,28,3311,False
9,-3.275693,0.016001,-3.432327,-2.862413,28,3311,False
10,-3.748604,0.003479,-3.432327,-2.862413,28,3311,True
11,-3.122197,0.024954,-3.432327,-2.862413,28,3311,False
12,-3.775090,0.003173,-3.432327,-2.862413,28,3311,True
13,-3.992797,0.001449,-3.432324,-2.862412,23,3316,True
14,-3.759213,0.003353,-3.432324,-2.862412,23,3316,True
15,-4.340561,0.000378,-3.432327,-2.862413,28,3311,True
16,-3.495620,0.008100,-3.432327,-2.862413,28,3311,True
17,-3.200391,0.019962,-3.432323,-2.862412,22,3317,False
18,-2.556409,0.102345,-3.432327,-2.862414,29,3310,False
