mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-4.560412,0.000153,-3.432311,-2.862406,1,3338,True
1,-4.418959,0.000275,-3.432311,-2.862407,2,3337,True
2,-4.857593,0.000042,-3.432323,-2.862412,22,3317,True
3,-4.679579,0.000092,-3.432326,-2.862413,27,3312,True
4,-3.973480,0.001556,-3.432321,-2.862411,19,3320,True
5,-5.910906,0.000000,-3.432321,-2.862411,19,3320,True
6,-5.168694,0.000010,-3.432319,-2.862410,16,3323,True
7,-4.425343,0.000268,-3.432317,-2.862409,12,3327,True
8,-6.940557,0.000000,-3.432317,-2.862409,12,3327,True
9,-6.107311,0.000000,-3.432321,-2.862411,18,3321,True
10,-5.266635,0.000006,-3.432323,-2.862412,22,3317,True
11,-4.863891,0.000041,-3.432323,-2.862412,22,3317,True
12,-4.260388,0.000520,-3.432317,-2.862409,12,3327,True
13,-7.031311,0.000000,-3.432322,-2.862411,21,3318,True
14,-4.905239,0.000034,-3.432320,-2.862410,17,3322,True
15,-4.572124,0.000145,-3.432318,-2.862409,13,3326,True
16,-7.178502,0.000000,-3.432319,-2.862410,15,3324,True
17,-4.612449,0.000123,-3.432326,-2.862413,27,3312,True
18,-4.313720,0.000421,-3.432320,-2.862410,17,3322,True
