mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-8.902180,0.000000,-3.432310,-2.862406,0,3339,True
1,-9.543533,0.000000,-3.432325,-2.862413,26,3313,True
2,-9.553345,0.000000,-3.432322,-2.862411,20,3319,True
3,-8.399185,0.000000,-3.432315,-2.862408,8,3331,True
4,-9.319021,0.000000,-3.432318,-2.862409,13,3326,True
5,-9.623162,0.000000,-3.432321,-2.862411,18,3321,True
6,-10.615594,0.000000,-3.432318,-2.862409,13,3326,True
7,-9.211049,0.000000,-3.432321,-2.862411,18,3321,True
8,-10.306657,0.000000,-3.432318,-2.862409,13,3326,True
9,-8.176576,0.000000,-3.432321,-2.862411,18,3321,True
10,-9.184484,0.000000,-3.432325,-2.862413,26,3313,True
11,-8.321773,0.000000,-3.432323,-2.862412,22,3317,True
12,-8.863275,0.000000,-3.432321,-2.862411,18,3321,True
13,-11.307927,0.000000,-3.432318,-2.862409,13,3326,True
14,-9.356807,0.000000,-3.432321,-2.862411,18,3321,True
15,-9.941412,0.000000,-3.432317,-2.862409,12,3327,True
16,-9.791755,0.000000,-3.432316,-2.862409,11,3328,True
17,-9.249972,0.000000,-3.432321,-2.862411,18,3321,True
18,-10.109444,0.000000,-3.432315,-2.862408,9,3330,True
