mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-13.187896,0.000000,-3.432313,-2.862407,5,3334,True
1,-16.500639,0.000000,-3.432312,-2.862407,4,3335,True
2,-9.777712,0.000000,-3.432322,-2.862411,21,3318,True
3,-17.551644,0.000000,-3.432313,-2.862408,6,3333,True
4,-20.343974,0.000000,-3.432314,-2.862408,7,3332,True
5,-13.721769,0.000000,-3.432320,-2.862410,17,3322,True
6,-13.804573,0.000000,-3.432322,-2.862411,21,3318,True
7,-12.967214,0.000000,-3.432321,-2.862411,18,3321,True
8,-13.560213,0.000000,-3.432315,-2.862408,8,3331,True
9,-17.203122,0.000000,-3.432315,-2.862408,9,3330,True
10,-12.399832,0.000000,-3.432319,-2.862410,16,3323,True
11,-10.594138,0.000000,-3.432319,-2.862410,15,3324,True
12,-20.857859,0.000000,-3.432313,-2.862407,5,3334,True
13,-13.215113,0.000000,-3.432318,-2.862410,14,3325,True
14,-17.785856,0.000000,-3.432313,-2.862408,6,3333,True
15,-13.616478,0.000000,-3.432316,-2.862409,10,3329,True
16,-17.485581,0.000000,-3.432314,-2.862408,7,3332,True
17,-15.576528,0.000000,-3.432315,-2.862408,8,3331,True
18,-24.823775,0.000000,-3.432311,-2.862406,1,3338,True
