mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-7.436361,0.000000,-3.432315,-2.862408,8,3331,True
1,-6.587125,0.000000,-3.432315,-2.862408,8,3331,True
2,-6.235697,0.000000,-3.432317,-2.862409,12,3327,True
3,-5.799625,0.000000,-3.432324,-2.862412,24,3315,True
4,-6.130106,0.000000,-3.432318,-2.862409,13,3326,True
5,-6.553166,0.000000,-3.432319,-2.862410,15,3324,True
6,-5.381921,0.000004,-3.432324,-2.862412,24,3315,True
7,-4.498997,0.000197,-3.432324,-2.862412,24,3315,True
8,-5.610385,0.000001,-3.432316,-2.862409,11,3328,True
9,-7.647691,0.000000,-3.432316,-2.862409,11,3328,True
10,-6.507492,0.000000,-3.432318,-2.862409,13,3326,True
11,-5.428383,0.000003,-3.432319,-2.862410,15,3324,True
12,-5.637620,0.000001,-3.432316,-2.862409,11,3328,True
13,-6.406572,0.000000,-3.432316,-2.862409,11,3328,True
14,-5.126591,0.000012,-3.432316,-2.862409,11,3328,True
15,-5.900083,0.000000,-3.432316,-2.862409,11,3328,True
16,-5.148450,0.000011,-3.432316,-2.862409,10,3329,True
17,-4.905648,0.000034,-3.432316,-2.862409,11,3328,True
18,-5.671177,0.000001,-3.432322,-2.862411,21,3318,True
