mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-4.605771,0.000126,-3.432313,-2.862408,6,3333,True
1,-3.100301,0.026531,-3.432311,-2.862407,2,3337,False
2,-3.562047,0.006529,-3.432313,-2.862407,5,3334,True
3,-4.579190,0.000141,-3.432319,-2.862410,16,3323,True
4,-5.132642,0.000012,-3.432319,-2.862410,15,3324,True
5,-4.866947,0.000040,-3.432315,-2.862408,8,3331,True
6,-4.220461,0.000608,-3.432315,-2.862408,8,3331,True
7,-6.239783,0.000000,-3.432316,-2.862409,11,3328,True
8,-5.543386,0.000002,-3.432325,-2.862413,25,3314,True
9,-4.194286,0.000674,-3.432319,-2.862410,16,3323,True
10,-5.067118,0.000016,-3.432322,-2.862411,21,3318,True
11,-6.327135,0.000000,-3.432319,-2.862410,16,3323,True
12,-6.055656,0.000000,-3.432315,-2.862408,8,3331,True
13,-4.649553,0.000105,-3.432325,-2.862413,25,3314,True
14,-6.696871,0.000000,-3.432315,-2.862408,9,3330,True
15,-8.430166,0.000000,-3.432319,-2.862410,16,3323,True
16,-3.471209,0.008758,-3.432322,-2.862411,21,3318,True
17,-3.841088,0.002514,-3.432319,-2.862410,15,3324,True
18,-5.064673,0.000017,-3.432315,-2.862408,9,3330,True
