mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-12.351237,0.000000,-3.432315,-2.862408,9,3330,True
1,-11.772030,0.000000,-3.432316,-2.862409,10,3329,True
2,-11.142619,0.000000,-3.432316,-2.862409,10,3329,True
3,-14.098154,0.000000,-3.432315,-2.862408,9,3330,True
4,-12.112399,0.000000,-3.432316,-2.862409,10,3329,True
5,-10.657872,0.000000,-3.432315,-2.862408,9,3330,True
6,-12.497542,0.000000,-3.432316,-2.862409,10,3329,True
7,-13.795307,0.000000,-3.432316,-2.862409,10,3329,True
8,-8.560618,0.000000,-3.432319,-2.862410,16,3323,True
9,-10.797416,0.000000,-3.432318,-2.862410,14,3325,True
10,-9.447195,0.000000,-3.432319,-2.862410,15,3324,True
11,-8.870107,0.000000,-3.432320,-2.862410,17,3322,True
12,-13.435870,0.000000,-3.432317,-2.862409,12,3327,True
13,-11.245268,0.000000,-3.432318,-2.862410,14,3325,True
14,-10.216678,0.000000,-3.432318,-2.862410,14,3325,True
15,-10.437807,0.000000,-3.432318,-2.862409,13,3326,True
16,-11.417114,0.000000,-3.432318,-2.862409,13,3326,True
17,-12.294027,0.000000,-3.432318,-2.862409,13,3326,True
18,-11.070278,0.000000,-3.432318,-2.862410,14,3325,True
