mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-12.706451,0.000000,-3.432315,-2.862408,9,3330,True
1,-12.419862,0.000000,-3.432316,-2.862409,11,3328,True
2,-11.222509,0.000000,-3.432316,-2.862409,10,3329,True
3,-10.738708,0.000000,-3.432315,-2.862408,9,3330,True
4,-15.705672,0.000000,-3.432315,-2.862408,8,3331,True
5,-13.942939,0.000000,-3.432315,-2.862408,9,3330,True
6,-14.859259,0.000000,-3.432315,-2.862408,9,3330,True
7,-15.427576,0.000000,-3.432315,-2.862408,8,3331,True
8,-8.945219,0.000000,-3.432320,-2.862410,17,3322,True
9,-8.991370,0.000000,-3.432319,-2.862410,16,3323,True
10,-10.394120,0.000000,-3.432319,-2.862410,15,3324,True
11,-9.545159,0.000000,-3.432319,-2.862410,15,3324,True
12,-9.823406,0.000000,-3.432318,-2.862410,14,3325,True
13,-10.560100,0.000000,-3.432319,-2.862410,15,3324,True
14,-9.764199,0.000000,-3.432319,-2.862410,15,3324,True
15,-10.348505,0.000000,-3.432318,-2.862410,14,3325,True
16,-10.212071,0.000000,-3.432318,-2.862409,13,3326,True
17,-10.796649,0.000000,-3.432318,-2.862410,14,3325,True
18,-10.705495,0.000000,-3.432318,-2.862410,14,3325,True
