mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-12.283478,0.000000,-3.432316,-2.862409,10,3329,True
1,-13.264901,0.000000,-3.432317,-2.862409,12,3327,True
2,-11.667693,0.000000,-3.432316,-2.862409,10,3329,True
3,-10.276970,0.000000,-3.432316,-2.862409,11,3328,True
4,-9.629022,0.000000,-3.432321,-2.862411,19,3320,True
5,-15.191613,0.000000,-3.432315,-2.862408,8,3331,True
6,-15.147811,0.000000,-3.432315,-2.862408,8,3331,True
7,-12.998923,0.000000,-3.432315,-2.862408,9,3330,True
8,-9.205705,0.000000,-3.432319,-2.862410,16,3323,True
9,-9.598740,0.000000,-3.432319,-2.862410,15,3324,True
10,-10.820878,0.000000,-3.432318,-2.862410,14,3325,True
11,-9.717786,0.000000,-3.432319,-2.862410,16,3323,True
12,-10.614245,0.000000,-3.432318,-2.862409,13,3326,True
13,-11.385515,0.000000,-3.432318,-2.862409,13,3326,True
14,-12.168865,0.000000,-3.432316,-2.862409,11,3328,True
15,-9.359063,0.000000,-3.432318,-2.862410,14,3325,True
16,-11.838302,0.000000,-3.432318,-2.862409,13,3326,True
17,-10.400241,0.000000,-3.432318,-2.862410,14,3325,True
18,-11.300902,0.000000,-3.432318,-2.862409,13,3326,True
