mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-11.193945,0.000000,-3.432318,-2.862409,13,3326,True
1,-11.831412,0.000000,-3.432318,-2.862409,13,3326,True
2,-11.147953,0.000000,-3.432318,-2.862409,13,3326,True
3,-12.992731,0.000000,-3.432317,-2.862409,12,3327,True
4,-15.246819,0.000000,-3.432316,-2.862409,10,3329,True
5,-15.292336,0.000000,-3.432316,-2.862409,10,3329,True
6,-15.398493,0.000000,-3.432315,-2.862408,9,3330,True
7,-14.308129,0.000000,-3.432315,-2.862408,9,3330,True
8,-19.419582,0.000000,-3.432314,-2.862408,7,3332,True
9,-12.099578,0.000000,-3.432319,-2.862410,16,3323,True
10,-9.746584,0.000000,-3.432320,-2.862410,17,3322,True
11,-18.256347,0.000000,-3.432315,-2.862408,8,3331,True
12,-9.840607,0.000000,-3.432321,-2.862411,18,3321,True
13,-11.996616,0.000000,-3.432319,-2.862410,15,3324,True
14,-11.923731,0.000000,-3.432319,-2.862410,15,3324,True
15,-10.373069,0.000000,-3.432319,-2.862410,16,3323,True
16,-11.367827,0.000000,-3.432319,-2.862410,16,3323,True
17,-19.510428,0.000000,-3.432313,-2.862408,6,3333,True
18,-11.817138,0.000000,-3.432318,-2.862410,14,3325,True
