mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-11.492813,0.000000,-3.432316,-2.862409,10,3329,True
1,-9.610239,0.000000,-3.432315,-2.862408,8,3331,True
2,-9.537106,0.000000,-3.432315,-2.862408,8,3331,True
3,-11.704524,0.000000,-3.432315,-2.862408,9,3330,True
4,-12.831779,0.000000,-3.432315,-2.862408,8,3331,True
5,-12.292847,0.000000,-3.432315,-2.862408,8,3331,True
6,-14.682596,0.000000,-3.432315,-2.862408,9,3330,True
7,-14.896068,0.000000,-3.432315,-2.862408,9,3330,True
8,-17.421487,0.000000,-3.432315,-2.862408,8,3331,True
9,-19.849730,0.000000,-3.432313,-2.862408,6,3333,True
10,-17.874859,0.000000,-3.432315,-2.862408,8,3331,True
11,-18.242739,0.000000,-3.432313,-2.862408,6,3333,True
12,-18.187120,0.000000,-3.432314,-2.862408,7,3332,True
13,-18.540459,0.000000,-3.432315,-2.862408,8,3331,True
14,-19.391187,0.000000,-3.432315,-2.862408,8,3331,True
15,-18.381456,0.000000,-3.432314,-2.862408,7,3332,True
16,-19.376080,0.000000,-3.432315,-2.862408,8,3331,True
17,-20.788808,0.000000,-3.432314,-2.862408,7,3332,True
18,-20.505939,0.000000,-3.432313,-2.862408,6,3333,True
