mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-11.958045,0.000000,-3.432316,-2.862409,10,3329,True
1,-10.839332,0.000000,-3.432315,-2.862408,9,3330,True
2,-11.855824,0.000000,-3.432315,-2.862408,9,3330,True
3,-12.110554,0.000000,-3.432315,-2.862408,8,3331,True
4,-14.040997,0.000000,-3.432315,-2.862408,9,3330,True
5,-13.240825,0.000000,-3.432315,-2.862408,8,3331,True
6,-14.536057,0.000000,-3.432315,-2.862408,9,3330,True
7,-14.400613,0.000000,-3.432314,-2.862408,7,3332,True
8,-17.988693,0.000000,-3.432315,-2.862408,8,3331,True
9,-17.764938,0.000000,-3.432315,-2.862408,9,3330,True
10,-19.449378,0.000000,-3.432313,-2.862408,6,3333,True
11,-18.990183,0.000000,-3.432315,-2.862408,8,3331,True
12,-18.852908,0.000000,-3.432315,-2.862408,8,3331,True
13,-17.609976,0.000000,-3.432315,-2.862408,8,3331,True
14,-18.822933,0.000000,-3.432313,-2.862408,6,3333,True
15,-18.437972,0.000000,-3.432315,-2.862408,8,3331,True
16,-22.105397,0.000000,-3.432313,-2.862408,6,3333,True
17,-19.918326,0.000000,-3.432314,-2.862408,7,3332,True
18,-19.796337,0.000000,-3.432313,-2.862408,6,3333,True
