mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-11.959957,0.000000,-3.432318,-2.862410,14,3325,True
1,-12.907430,0.000000,-3.432316,-2.862409,11,3328,True
2,-10.327645,0.000000,-3.432316,-2.862409,11,3328,True
3,-11.373958,0.000000,-3.432316,-2.862409,11,3328,True
4,-15.430099,0.000000,-3.432316,-2.862409,10,3329,True
5,-14.946671,0.000000,-3.432315,-2.862408,8,3331,True
6,-15.017237,0.000000,-3.432315,-2.862408,9,3330,True
7,-14.446069,0.000000,-3.432315,-2.862408,8,3331,True
8,-9.097271,0.000000,-3.432319,-2.862410,15,3324,True
9,-10.544264,0.000000,-3.432318,-2.862410,14,3325,True
10,-10.066832,0.000000,-3.432319,-2.862410,16,3323,True
11,-10.227735,0.000000,-3.432319,-2.862410,16,3323,True
12,-9.949578,0.000000,-3.432318,-2.862409,13,3326,True
13,-11.103009,0.000000,-3.432319,-2.862410,15,3324,True
14,-10.135539,0.000000,-3.432318,-2.862410,14,3325,True
15,-10.461156,0.000000,-3.432319,-2.862410,15,3324,True
16,-9.702655,0.000000,-3.432319,-2.862410,15,3324,True
17,-10.444213,0.000000,-3.432318,-2.862409,13,3326,True
18,-10.314482,0.000000,-3.432318,-2.862410,14,3325,True
