mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-6.704852,0.000000,-3.432318,-2.862409,13,3326,True
1,-7.891058,0.000000,-3.432319,-2.862410,15,3324,True
2,-7.371578,0.000000,-3.432318,-2.862409,13,3326,True
3,-7.475855,0.000000,-3.432318,-2.862410,14,3325,True
4,-9.706154,0.000000,-3.432318,-2.862410,14,3325,True
5,-8.811483,0.000000,-3.432318,-2.862410,14,3325,True
6,-8.793371,0.000000,-3.432318,-2.862409,13,3326,True
7,-9.888341,0.000000,-3.432316,-2.862409,11,3328,True
8,-12.019971,0.000000,-3.432318,-2.862409,13,3326,True
9,-11.603132,0.000000,-3.432316,-2.862409,11,3328,True
10,-11.499462,0.000000,-3.432316,-2.862409,10,3329,True
11,-11.740261,0.000000,-3.432316,-2.862409,11,3328,True
12,-14.226278,0.000000,-3.432316,-2.862409,11,3328,True
13,-11.356366,0.000000,-3.432316,-2.862409,10,3329,True
14,-11.405357,0.000000,-3.432315,-2.862408,9,3330,True
15,-12.848294,0.000000,-3.432316,-2.862409,11,3328,True
16,-11.785480,0.000000,-3.432316,-2.862409,11,3328,True
17,-11.910184,0.000000,-3.432315,-2.862408,9,3330,True
18,-11.794135,0.000000,-3.432315,-2.862408,9,3330,True
