mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-10.160896,0.000000,-3.432321,-2.862411,18,3321,True
1,-10.714020,0.000000,-3.432320,-2.862410,17,3322,True
2,-12.647663,0.000000,-3.432317,-2.862409,12,3327,True
3,-9.832028,0.000000,-3.432320,-2.862410,17,3322,True
4,-13.991024,0.000000,-3.432317,-2.862409,12,3327,True
5,-9.799333,0.000000,-3.432323,-2.862412,22,3317,True
6,-12.127323,0.000000,-3.432325,-2.862413,25,3314,True
7,-14.038410,0.000000,-3.432320,-2.862410,17,3322,True
8,-10.709720,0.000000,-3.432322,-2.862411,21,3318,True
9,-10.395143,0.000000,-3.432320,-2.862410,17,3322,True
10,-13.377374,0.000000,-3.432321,-2.862411,18,3321,True
11,-12.648401,0.000000,-3.432324,-2.862412,24,3315,True
12,-13.147877,0.000000,-3.432321,-2.862411,18,3321,True
13,-13.574003,0.000000,-3.432322,-2.862411,20,3319,True
14,-10.055862,0.000000,-3.432325,-2.862413,25,3314,True
15,-9.401536,0.000000,-3.432325,-2.862413,25,3314,True
16,-11.386060,0.000000,-3.432323,-2.862412,22,3317,True
17,-11.134225,0.000000,-3.432321,-2.862411,19,3320,True
18,-10.352897,0.000000,-3.432324,-2.862412,23,3316,True
