mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-14.046488,0.000000,-3.432315,-2.862408,9,3330,True
1,-14.727733,0.000000,-3.432315,-2.862408,9,3330,True
2,-14.255926,0.000000,-3.432315,-2.862408,8,3331,True
3,-12.462066,0.000000,-3.432315,-2.862408,8,3331,True
4,-9.628006,0.000000,-3.432319,-2.862410,16,3323,True
5,-9.494841,0.000000,-3.432320,-2.862410,17,3322,True
6,-11.363352,0.000000,-3.432317,-2.862409,12,3327,True
7,-10.850605,0.000000,-3.432319,-2.862410,15,3324,True
8,-12.197648,0.000000,-3.432316,-2.862409,11,3328,True
9,-11.477738,0.000000,-3.432317,-2.862409,12,3327,True
10,-11.773664,0.000000,-3.432316,-2.862409,11,3328,True
11,-10.734253,0.000000,-3.432322,-2.862411,21,3318,True
12,-7.287915,0.000000,-3.432327,-2.862413,28,3311,True
13,-10.608347,0.000000,-3.432316,-2.862409,11,3328,True
14,-12.076335,0.000000,-3.432322,-2.862411,20,3319,True
15,-11.409457,0.000000,-3.432316,-2.862409,11,3328,True
16,-10.443520,0.000000,-3.432318,-2.862410,14,3325,True
17,-11.629236,0.000000,-3.432320,-2.862410,17,3322,True
18,-12.262920,0.000000,-3.432316,-2.862409,10,3329,True
