mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-14.682725,0.000000,-3.432315,-2.862408,9,3330,True
1,-12.499704,0.000000,-3.432315,-2.862408,8,3331,True
2,-12.464217,0.000000,-3.432315,-2.862408,8,3331,True
3,-13.155316,0.000000,-3.432315,-2.862408,8,3331,True
4,-15.171170,0.000000,-3.432315,-2.862408,8,3331,True
5,-17.046144,0.000000,-3.432314,-2.862408,7,3332,True
6,-16.708566,0.000000,-3.432315,-2.862408,8,3331,True
7,-15.903596,0.000000,-3.432313,-2.862408,6,3333,True
8,-21.152007,0.000000,-3.432313,-2.862407,5,3334,True
9,-22.490237,0.000000,-3.432313,-2.862408,6,3333,True
10,-21.301750,0.000000,-3.432313,-2.862408,6,3333,True
11,-20.482052,0.000000,-3.432313,-2.862408,6,3333,True
12,-22.434366,0.000000,-3.432315,-2.862408,8,3331,True
13,-21.301303,0.000000,-3.432313,-2.862408,6,3333,True
14,-22.495986,0.000000,-3.432313,-2.862407,5,3334,True
15,-23.487362,0.000000,-3.432313,-2.862408,6,3333,True
16,-22.981043,0.000000,-3.432313,-2.862407,5,3334,True
17,-22.725188,0.000000,-3.432313,-2.862408,6,3333,True
18,-14.928321,0.000000,-3.432316,-2.862409,11,3328,True
