mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-14.058046,0.000000,-3.432316,-2.862409,10,3329,True
1,-15.348137,0.000000,-3.432316,-2.862409,11,3328,True
2,-15.317197,0.000000,-3.432316,-2.862409,10,3329,True
3,-8.735948,0.000000,-3.432322,-2.862411,20,3319,True
4,-9.872833,0.000000,-3.432321,-2.862411,18,3321,True
5,-10.458394,0.000000,-3.432319,-2.862410,16,3323,True
6,-9.463147,0.000000,-3.432319,-2.862410,16,3323,True
7,-9.551485,0.000000,-3.432321,-2.862411,19,3320,True
8,-10.992920,0.000000,-3.432322,-2.862411,21,3318,True
9,-10.224525,0.000000,-3.432318,-2.862409,13,3326,True
10,-10.062211,0.000000,-3.432324,-2.862412,24,3315,True
11,-10.740066,0.000000,-3.432325,-2.862413,26,3313,True
12,-10.496231,0.000000,-3.432317,-2.862409,12,3327,True
13,-10.256679,0.000000,-3.432317,-2.862409,12,3327,True
14,-10.524751,0.000000,-3.432320,-2.862410,17,3322,True
15,-8.711788,0.000000,-3.432327,-2.862414,29,3310,True
16,-10.662979,0.000000,-3.432317,-2.862409,12,3327,True
17,-10.967753,0.000000,-3.432322,-2.862411,20,3319,True
18,-10.761671,0.000000,-3.432321,-2.862411,19,3320,True
