mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-2.331872,0.161894,-3.432312,-2.862407,3,3336,False
1,-2.683346,0.076965,-3.432310,-2.862406,0,3339,False
2,-2.576053,0.098048,-3.432312,-2.862407,4,3335,False
3,-2.468942,0.123215,-3.432316,-2.862409,11,3328,False
4,-3.297554,0.014988,-3.432312,-2.862407,3,3336,False
5,-2.807800,0.057168,-3.432313,-2.862407,5,3334,False
6,-3.557192,0.006634,-3.432318,-2.862410,14,3325,True
7,-2.931101,0.041849,-3.432311,-2.862406,1,3338,False
8,-4.000008,0.001410,-3.432318,-2.862410,14,3325,True
9,-5.766240,0.000001,-3.432319,-2.862410,15,3324,True
10,-4.850243,0.000044,-3.432318,-2.862410,14,3325,True
11,-4.147048,0.000809,-3.432318,-2.862409,13,3326,True
12,-4.746293,0.000069,-3.432319,-2.862410,16,3323,True
13,-4.264704,0.000511,-3.432316,-2.862409,10,3329,True
14,-5.056373,0.000017,-3.432319,-2.862410,15,3324,True
15,-6.232008,0.000000,-3.432320,-2.862410,17,3322,True
16,-6.348266,0.000000,-3.432319,-2.862410,16,3323,True
17,-5.557047,0.000002,-3.432316,-2.862409,10,3329,True
18,-5.547552,0.000002,-3.432319,-2.862410,16,3323,True
