mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-11.699089,0.000000,-3.432316,-2.862409,10,3329,True
1,-11.393603,0.000000,-3.432316,-2.862409,11,3328,True
2,-11.572417,0.000000,-3.432316,-2.862409,10,3329,True
3,-11.692937,0.000000,-3.432316,-2.862409,10,3329,True
4,-14.504474,0.000000,-3.432315,-2.862408,9,3330,True
5,-14.482900,0.000000,-3.432315,-2.862408,9,3330,True
6,-8.844689,0.000000,-3.432322,-2.862411,20,3319,True
7,-15.961317,0.000000,-3.432315,-2.862408,8,3331,True
8,-9.618091,0.000000,-3.432319,-2.862410,15,3324,True
9,-10.026360,0.000000,-3.432319,-2.862410,15,3324,True
10,-9.664867,0.000000,-3.432318,-2.862410,14,3325,True
11,-9.615081,0.000000,-3.432319,-2.862410,16,3323,True
12,-9.528175,0.000000,-3.432318,-2.862410,14,3325,True
13,-12.688564,0.000000,-3.432317,-2.862409,12,3327,True
14,-10.214610,0.000000,-3.432319,-2.862410,16,3323,True
15,-10.199353,0.000000,-3.432318,-2.862409,13,3326,True
16,-11.030262,0.000000,-3.432318,-2.862410,14,3325,True
17,-10.404401,0.000000,-3.432318,-2.862410,14,3325,True
18,-10.548326,0.000000,-3.432318,-2.862410,14,3325,True
