mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-13.964855,0.000000,-3.432314,-2.862408,7,3332,True
1,-14.689858,0.000000,-3.432314,-2.862408,7,3332,True
2,-12.882740,0.000000,-3.432320,-2.862410,17,3322,True
3,-13.085859,0.000000,-3.432315,-2.862408,9,3330,True
4,-10.073341,0.000000,-3.432321,-2.862411,18,3321,True
5,-13.150685,0.000000,-3.432317,-2.862409,12,3327,True
6,-12.796114,0.000000,-3.432318,-2.862409,13,3326,True
7,-15.018928,0.000000,-3.432317,-2.862409,12,3327,True
8,-13.760043,0.000000,-3.432320,-2.862410,17,3322,True
9,-13.258130,0.000000,-3.432319,-2.862410,16,3323,True
10,-14.024676,0.000000,-3.432317,-2.862409,12,3327,True
11,-14.015810,0.000000,-3.432317,-2.862409,12,3327,True
12,-13.595402,0.000000,-3.432319,-2.862410,16,3323,True
13,-12.008913,0.000000,-3.432319,-2.862410,16,3323,True
14,-12.252277,0.000000,-3.432319,-2.862410,15,3324,True
15,-12.484432,0.000000,-3.432321,-2.862411,19,3320,True
16,-11.719858,0.000000,-3.432321,-2.862411,18,3321,True
17,-14.355545,0.000000,-3.432319,-2.862410,16,3323,True
18,-14.017555,0.000000,-3.432319,-2.862410,16,3323,True
