mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-10.831480,0.000000,-3.432317,-2.862409,12,3327,True
1,-10.456238,0.000000,-3.432317,-2.862409,12,3327,True
2,-9.811934,0.000000,-3.432316,-2.862409,11,3328,True
3,-11.188119,0.000000,-3.432316,-2.862409,11,3328,True
4,-14.450902,0.000000,-3.432316,-2.862409,10,3329,True
5,-13.854825,0.000000,-3.432315,-2.862408,9,3330,True
6,-13.880689,0.000000,-3.432315,-2.862408,9,3330,True
7,-12.551634,0.000000,-3.432315,-2.862408,9,3330,True
8,-8.956095,0.000000,-3.432321,-2.862411,18,3321,True
9,-9.590503,0.000000,-3.432319,-2.862410,15,3324,True
10,-10.260783,0.000000,-3.432320,-2.862410,17,3322,True
11,-11.802709,0.000000,-3.432318,-2.862410,14,3325,True
12,-10.211759,0.000000,-3.432318,-2.862410,14,3325,True
13,-11.326112,0.000000,-3.432318,-2.862410,14,3325,True
14,-10.837199,0.000000,-3.432318,-2.862410,14,3325,True
15,-11.390226,0.000000,-3.432318,-2.862410,14,3325,True
16,-10.090942,0.000000,-3.432319,-2.862410,16,3323,True
17,-11.713998,0.000000,-3.432318,-2.862410,14,3325,True
18,-16.667904,0.000000,-3.432314,-2.862408,7,3332,True
