mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-14.532896,0.000000,-3.432315,-2.862408,9,3330,True
1,-10.636937,0.000000,-3.432318,-2.862410,14,3325,True
2,-14.168849,0.000000,-3.432314,-2.862408,7,3332,True
3,-12.998249,0.000000,-3.432314,-2.862408,7,3332,True
4,-9.559612,0.000000,-3.432318,-2.862410,14,3325,True
5,-10.635687,0.000000,-3.432318,-2.862409,13,3326,True
6,-11.403748,0.000000,-3.432318,-2.862410,14,3325,True
7,-18.508268,0.000000,-3.432313,-2.862408,6,3333,True
8,-11.484493,0.000000,-3.432316,-2.862409,10,3329,True
9,-11.272415,0.000000,-3.432316,-2.862409,11,3328,True
10,-10.958865,0.000000,-3.432316,-2.862409,11,3328,True
11,-11.710091,0.000000,-3.432321,-2.862411,19,3320,True
12,-11.504466,0.000000,-3.432321,-2.862411,19,3320,True
13,-11.558187,0.000000,-3.432316,-2.862409,10,3329,True
14,-11.571568,0.000000,-3.432321,-2.862411,19,3320,True
15,-10.904040,0.000000,-3.432322,-2.862411,20,3319,True
16,-12.110782,0.000000,-3.432321,-2.862411,18,3321,True
17,-10.782709,0.000000,-3.432316,-2.862409,10,3329,True
18,-12.099593,0.000000,-3.432316,-2.862409,10,3329,True
