mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-11.331602,0.000000,-3.432316,-2.862409,10,3329,True
1,-9.360359,0.000000,-3.432315,-2.862408,8,3331,True
2,-9.335537,0.000000,-3.432315,-2.862408,8,3331,True
3,-12.165521,0.000000,-3.432316,-2.862409,10,3329,True
4,-12.884898,0.000000,-3.432315,-2.862408,8,3331,True
5,-12.077018,0.000000,-3.432315,-2.862408,8,3331,True
6,-14.374237,0.000000,-3.432315,-2.862408,9,3330,True
7,-15.873362,0.000000,-3.432315,-2.862408,9,3330,True
8,-17.483749,0.000000,-3.432315,-2.862408,8,3331,True
9,-19.224366,0.000000,-3.432313,-2.862408,6,3333,True
10,-17.755724,0.000000,-3.432315,-2.862408,8,3331,True
11,-17.458899,0.000000,-3.432313,-2.862408,6,3333,True
12,-17.920287,0.000000,-3.432314,-2.862408,7,3332,True
13,-18.573775,0.000000,-3.432315,-2.862408,8,3331,True
14,-18.572188,0.000000,-3.432315,-2.862408,8,3331,True
15,-18.423670,0.000000,-3.432314,-2.862408,7,3332,True
16,-19.351637,0.000000,-3.432314,-2.862408,7,3332,True
17,-20.344371,0.000000,-3.432313,-2.862408,6,3333,True
18,-20.213656,0.000000,-3.432313,-2.862408,6,3333,True
