mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-8.554598,0.000000,-3.432318,-2.862409,13,3326,True
1,-7.321174,0.000000,-3.432317,-2.862409,12,3327,True
2,-9.661199,0.000000,-3.432319,-2.862410,15,3324,True
3,-8.051005,0.000000,-3.432317,-2.862409,12,3327,True
4,-11.509546,0.000000,-3.432316,-2.862409,11,3328,True
5,-10.283585,0.000000,-3.432315,-2.862408,9,3330,True
6,-10.056812,0.000000,-3.432316,-2.862409,11,3328,True
7,-10.675097,0.000000,-3.432316,-2.862409,11,3328,True
8,-14.664145,0.000000,-3.432315,-2.862408,8,3331,True
9,-13.834402,0.000000,-3.432315,-2.862408,8,3331,True
10,-12.438386,0.000000,-3.432315,-2.862408,8,3331,True
11,-15.212325,0.000000,-3.432315,-2.862408,8,3331,True
12,-16.907172,0.000000,-3.432315,-2.862408,8,3331,True
13,-10.390798,0.000000,-3.432319,-2.862410,15,3324,True
14,-14.315222,0.000000,-3.432314,-2.862408,7,3332,True
15,-9.535362,0.000000,-3.432319,-2.862410,16,3323,True
16,-15.970127,0.000000,-3.432315,-2.862408,8,3331,True
17,-15.412546,0.000000,-3.432315,-2.862408,9,3330,True
18,-16.431998,0.000000,-3.432314,-2.862408,7,3332,True
