mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-12.874865,0.000000,-3.432316,-2.862409,11,3328,True
1,-12.576242,0.000000,-3.432318,-2.862409,13,3326,True
2,-11.892842,0.000000,-3.432319,-2.862410,15,3324,True
3,-13.814277,0.000000,-3.432316,-2.862409,11,3328,True
4,-8.199032,0.000000,-3.432321,-2.862411,19,3320,True
5,-8.752909,0.000000,-3.432323,-2.862412,22,3317,True
6,-13.569040,0.000000,-3.432316,-2.862409,10,3329,True
7,-14.832915,0.000000,-3.432315,-2.862408,9,3330,True
8,-8.997360,0.000000,-3.432320,-2.862410,17,3322,True
9,-9.279449,0.000000,-3.432321,-2.862411,18,3321,True
10,-9.616706,0.000000,-3.432320,-2.862410,17,3322,True
11,-9.822662,0.000000,-3.432319,-2.862410,16,3323,True
12,-9.985804,0.000000,-3.432319,-2.862410,15,3324,True
13,-11.363433,0.000000,-3.432318,-2.862410,14,3325,True
14,-9.509192,0.000000,-3.432319,-2.862410,16,3323,True
15,-8.707717,0.000000,-3.432319,-2.862410,16,3323,True
16,-9.481364,0.000000,-3.432321,-2.862411,18,3321,True
17,-8.909116,0.000000,-3.432319,-2.862410,16,3323,True
18,-9.598343,0.000000,-3.432319,-2.862410,15,3324,True
