mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-12.220682,0.000000,-3.432316,-2.862409,10,3329,True
1,-12.426093,0.000000,-3.432316,-2.862409,11,3328,True
2,-11.221428,0.000000,-3.432316,-2.862409,10,3329,True
3,-11.737617,0.000000,-3.432316,-2.862409,11,3328,True
4,-13.437067,0.000000,-3.432315,-2.862408,9,3330,True
5,-16.518095,0.000000,-3.432315,-2.862408,8,3331,True
6,-15.480810,0.000000,-3.432315,-2.862408,8,3331,True
7,-14.611287,0.000000,-3.432315,-2.862408,9,3330,True
8,-10.992763,0.000000,-3.432319,-2.862410,15,3324,True
9,-11.976206,0.000000,-3.432318,-2.862410,14,3325,True
10,-10.164875,0.000000,-3.432318,-2.862410,14,3325,True
11,-9.050073,0.000000,-3.432319,-2.862410,15,3324,True
12,-11.852454,0.000000,-3.432318,-2.862410,14,3325,True
13,-11.267220,0.000000,-3.432318,-2.862410,14,3325,True
14,-10.283031,0.000000,-3.432318,-2.862410,14,3325,True
15,-8.975389,0.000000,-3.432319,-2.862410,15,3324,True
16,-11.295226,0.000000,-3.432319,-2.862410,15,3324,True
17,-11.700017,0.000000,-3.432318,-2.862410,14,3325,True
18,-9.679140,0.000000,-3.432319,-2.862410,15,3324,True
