mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-13.938536,0.000000,-3.432316,-2.862409,10,3329,True
1,-10.259096,0.000000,-3.432316,-2.862409,11,3328,True
2,-11.884321,0.000000,-3.432316,-2.862409,10,3329,True
3,-10.646095,0.000000,-3.432316,-2.862409,10,3329,True
4,-14.114023,0.000000,-3.432315,-2.862408,9,3330,True
5,-14.217313,0.000000,-3.432316,-2.862409,10,3329,True
6,-12.793679,0.000000,-3.432315,-2.862408,9,3330,True
7,-12.863591,0.000000,-3.432315,-2.862408,9,3330,True
8,-11.797799,0.000000,-3.432318,-2.862409,13,3326,True
9,-11.682046,0.000000,-3.432319,-2.862410,15,3324,True
10,-11.253507,0.000000,-3.432318,-2.862410,14,3325,True
11,-10.272294,0.000000,-3.432319,-2.862410,16,3323,True
12,-10.446137,0.000000,-3.432318,-2.862410,14,3325,True
13,-10.486171,0.000000,-3.432318,-2.862409,13,3326,True
14,-8.719373,0.000000,-3.432319,-2.862410,16,3323,True
15,-9.702569,0.000000,-3.432318,-2.862410,14,3325,True
16,-10.941063,0.000000,-3.432319,-2.862410,15,3324,True
17,-11.863724,0.000000,-3.432318,-2.862409,13,3326,True
18,-10.173920,0.000000,-3.432319,-2.862410,16,3323,True
