mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-21.743048,0.000000,-3.432313,-2.862408,6,3333,True
1,-18.787427,0.000000,-3.432313,-2.862408,6,3333,True
2,-21.179465,0.000000,-3.432313,-2.862408,6,3333,True
3,-18.688895,0.000000,-3.432313,-2.862408,6,3333,True
4,-24.803647,0.000000,-3.432313,-2.862407,5,3334,True
5,-23.201131,0.000000,-3.432312,-2.862407,4,3335,True
6,-23.755948,0.000000,-3.432312,-2.862407,4,3335,True
7,-24.241841,0.000000,-3.432312,-2.862407,4,3335,True
8,-30.619351,0.000000,-3.432312,-2.862407,4,3335,True
9,-17.979222,0.000000,-3.432315,-2.862408,8,3331,True
10,-19.787359,0.000000,-3.432314,-2.862408,7,3332,True
11,-20.529882,0.000000,-3.432313,-2.862408,6,3333,True
12,-21.836598,0.000000,-3.432314,-2.862408,7,3332,True
13,-30.532410,0.000000,-3.432312,-2.862407,4,3335,True
14,-35.823274,0.000000,-3.432312,-2.862407,3,3336,True
15,-21.770542,0.000000,-3.432313,-2.862408,6,3333,True
16,-35.434757,0.000000,-3.432312,-2.862407,3,3336,True
17,-32.124165,0.000000,-3.432312,-2.862407,3,3336,True
18,-20.972045,0.000000,-3.432313,-2.862408,6,3333,True
