mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-12.256269,0.000000,-3.432316,-2.862409,10,3329,True
1,-12.446708,0.000000,-3.432315,-2.862408,9,3330,True
2,-12.775750,0.000000,-3.432319,-2.862410,15,3324,True
3,-12.253908,0.000000,-3.432315,-2.862408,9,3330,True
4,-14.076323,0.000000,-3.432316,-2.862409,11,3328,True
5,-11.503138,0.000000,-3.432318,-2.862410,14,3325,True
6,-11.007296,0.000000,-3.432319,-2.862410,16,3323,True
7,-11.081801,0.000000,-3.432319,-2.862410,16,3323,True
8,-10.598525,0.000000,-3.432321,-2.862411,19,3320,True
9,-11.081577,0.000000,-3.432317,-2.862409,12,3327,True
10,-13.001768,0.000000,-3.432318,-2.862410,14,3325,True
11,-12.371086,0.000000,-3.432319,-2.862410,15,3324,True
12,-13.948084,0.000000,-3.432316,-2.862409,10,3329,True
13,-13.357701,0.000000,-3.432318,-2.862409,13,3326,True
14,-14.514131,0.000000,-3.432318,-2.862409,13,3326,True
15,-14.476828,0.000000,-3.432318,-2.862410,14,3325,True
16,-12.918871,0.000000,-3.432318,-2.862409,13,3326,True
17,-11.474469,0.000000,-3.432320,-2.862410,17,3322,True
18,-15.021609,0.000000,-3.432318,-2.862409,13,3326,True
