mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-13.636801,0.000000,-3.432319,-2.862410,15,3324,True
1,-13.053853,0.000000,-3.432319,-2.862410,15,3324,True
2,-13.448548,0.000000,-3.432319,-2.862410,15,3324,True
3,-13.263403,0.000000,-3.432319,-2.862410,15,3324,True
4,-15.704568,0.000000,-3.432316,-2.862409,10,3329,True
5,-9.755521,0.000000,-3.432320,-2.862410,17,3322,True
6,-13.714462,0.000000,-3.432318,-2.862410,14,3325,True
7,-12.795971,0.000000,-3.432318,-2.862410,14,3325,True
8,-13.267030,0.000000,-3.432320,-2.862410,17,3322,True
9,-15.191359,0.000000,-3.432318,-2.862410,14,3325,True
10,-13.115249,0.000000,-3.432322,-2.862411,21,3318,True
11,-15.234605,0.000000,-3.432318,-2.862410,14,3325,True
12,-13.035752,0.000000,-3.432319,-2.862410,15,3324,True
13,-12.400254,0.000000,-3.432327,-2.862413,28,3311,True
14,-13.402858,0.000000,-3.432319,-2.862410,15,3324,True
15,-11.720650,0.000000,-3.432321,-2.862411,19,3320,True
16,-15.995565,0.000000,-3.432317,-2.862409,12,3327,True
17,-15.419518,0.000000,-3.432318,-2.862409,13,3326,True
18,-15.558265,0.000000,-3.432317,-2.862409,12,3327,True
