mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-5.246611,0.000007,-3.432326,-2.862413,7,3312,True
1,-9.290487,0.000000,-3.432327,-2.862414,9,3310,True
2,-5.200276,0.000009,-3.432339,-2.862419,29,3290,True
3,-8.628922,0.000000,-3.432327,-2.862414,9,3310,True
4,-8.079811,0.000000,-3.432327,-2.862413,8,3311,True
5,-8.850631,0.000000,-3.432339,-2.862419,28,3291,True
6,-10.190114,0.000000,-3.432327,-2.862414,9,3310,True
7,-7.508556,0.000000,-3.432330,-2.862415,13,3306,True
8,-8.756387,0.000000,-3.432327,-2.862413,8,3311,True
9,-8.981394,0.000000,-3.432325,-2.862413,6,3313,True
10,-7.095139,0.000000,-3.432339,-2.862419,28,3291,True
11,-10.321748,0.000000,-3.432326,-2.862413,7,3312,True
12,-9.532589,0.000000,-3.432326,-2.862413,7,3312,True
13,-10.548686,0.000000,-3.432324,-2.862412,4,3315,True
14,-9.916876,0.000000,-3.432325,-2.862413,5,3314,True
15,-10.541076,0.000000,-3.432328,-2.862414,10,3309,True
16,-10.141396,0.000000,-3.432327,-2.862413,8,3311,True
17,-9.543227,0.000000,-3.432326,-2.862413,7,3312,True
18,-9.389752,0.000000,-3.432326,-2.862413,7,3312,True
