mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-5.470331,0.000002,-3.432323,-2.862412,2,3317,True
1,-3.976176,0.001541,-3.432323,-2.862412,2,3317,True
2,-3.734527,0.003653,-3.432327,-2.862413,8,3311,True
3,-6.167276,0.000000,-3.432331,-2.862415,15,3304,True
4,-6.697389,0.000000,-3.432339,-2.862419,29,3290,True
5,-7.490909,0.000000,-3.432337,-2.862418,25,3294,True
6,-5.519969,0.000002,-3.432338,-2.862418,27,3292,True
7,-6.805033,0.000000,-3.432331,-2.862415,16,3303,True
8,-5.404726,0.000003,-3.432336,-2.862418,24,3295,True
9,-5.937200,0.000000,-3.432333,-2.862416,19,3300,True
10,-4.299287,0.000445,-3.432339,-2.862419,29,3290,True
11,-4.681961,0.000091,-3.432336,-2.862418,24,3295,True
12,-6.042170,0.000000,-3.432338,-2.862418,27,3292,True
13,-5.742236,0.000001,-3.432333,-2.862416,18,3301,True
14,-8.394264,0.000000,-3.432333,-2.862416,18,3301,True
15,-6.284819,0.000000,-3.432339,-2.862419,29,3290,True
16,-11.446464,0.000000,-3.432328,-2.862414,11,3308,True
17,-5.891082,0.000000,-3.432339,-2.862419,29,3290,True
18,-4.849484,0.000044,-3.432336,-2.862418,24,3295,True
