mode,adf_stat,p_value,critical_1pct,critical_5pct,n_lags_used,n_obs,stationary
0,-8.142644,0.000000,-3.432323,-2.862412,2,3317,True
1,-4.758480,0.000065,-3.432326,-2.862413,7,3312,True
2,-10.021499,0.000000,-3.432324,-2.862412,3,3316,True
3,-4.915825,0.000032,-3.432324,-2.862412,4,3315,True
4,-7.479692,0.000000,-3.432325,-2.862413,5,3314,True
5,-9.544553,0.000000,-3.432324,-2.862412,4,3315,True
6,-9.000349,0.000000,-3.432325,-2.862413,6,3313,True
7,-9.765248,0.000000,-3.432325,-2.862413,6,3313,True
8,-7.761793,0.000000,-3.432326,-2.862413,7,3312,True
9,-6.816877,0.000000,-3.432330,-2.862415,14,3305,True
10,-9.028615,0.000000,-3.432325,-2.862413,6,3313,True
11,-7.375651,0.000000,-3.432331,-2.862415,16,3303,True
12,-7.745746,0.000000,-3.432327,-2.862413,8,3311,True
13,-8.537932,0.000000,-3.432327,-2.862414,9,3310,True
14,-9.378405,0.000000,-3.432325,-2.862413,5,3314,True
15,-9.278777,0.000000,-3.432325,-2.862413,6,3313,True
16,-10.051830,0.000000,-3.432327,-2.862413,8,3311,True
17,-8.251575,0.000000,-3.432325,-2.862413,6,3313,True
18,-10.013818,0.000000,-3.432325,-2.862413,5,3314,True
